ImdbID,Name,Runtime,ReleaseDate,OriginCountries,Languages,Genres,Rating,Plot
tt6373362,Nasha Jurm Aur Gangsters,02:17:00,2024-09-20,['India'],['Hindi'],"['Action', 'Crime', 'Drama', 'Thriller']",7.5,"Three Gangsters, Jeet, Jacky, and Basu. They are the professional mafia in town of mumbai and want to become rich and more powerful. However, something is going to mend their ways unexpectedly."
tt33081325,Manyam Dheerudu,01:54:00,2024-09-20,['India'],['Telugu'],['Biography'],7.5,Manyam Dheerudu (Seetharama Raju) is a Biopic on the life of the famous Telugu freedom fighter Alluri Seetarama Raju.
tt27911000,Terrifier 3,02:05:00,2024-10-11,['United States'],['English'],"['Dark Comedy', 'Slasher Horror', 'Splatter Horror', 'Supernatural Horror', 'Teen Horror', 'Holiday', 'Horror']",6.5,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.
tt27714840,Classified,01:45:00,2024-10-22,"['United States', 'Bulgaria']",['English'],"['Action', 'Thriller']",3.8,A career CIA hitman who's been solely using the classified section of various newspapers to receive his orders suddenly discovers that his division's actually been shut down for years.
tt14415204,Never Let Go,01:41:00,2024-09-20,"['United States', 'Canada', 'France']",['English'],"['Horror', 'Thriller']",5.5,A family that has been haunted by an evil spirit for years. Their safety and their surroundings come into question when one of the children questions if the evil is real.
tt32903026,Jung Kook: I Am Still,01:30:00,2024-09-18,['South Korea'],['Korean'],"['Music Documentary', 'Documentary', 'Music']",8.2,"Jung Kook invites viewers on a journey showcasing his rise to stardom, creative process, work ethic, and challenges as a global icon, with unseen footage, interviews, and electrifying performances."
tt33336815,Stopping the Steal,01:30:00,2024-09-17,['United States'],['English'],['Documentary'],7.5,An inside account of President Trump's challenge to the results of the 2020 presidential election as told by former White House staff and appointees.
tt27156546,Child Star,01:38:00,2024-09-17,['United States'],['English'],['Documentary'],6.6,"Examine how some of the most well-known former child stars, such as Lovato, deconstruct the highs and lows of growing up in the spotlight and how their ascension to fame, riches, and power affects their futures."
tt33291011,#Lifestories,01:44:00,2024-09-14,['India'],['Telugu'],['Drama'],8.5,"A collection of six shorts exploring the range of human emotions through diverse protagonists experiencing joy, solitude, guilt, and love's complexities."
tt33034103,Am I Racist?,01:40:00,2024-09-13,['United States'],['English'],"['Dark Comedy', 'Satire', 'Comedy', 'Documentary']",6.9,"A man investigates diversity, equity and inclusion practices, revealing absurdities through hidden social experiments."
tt13186604,Uglies,01:40:00,2024-09-13,['United States'],['English'],"['Dystopian Sci-Fi', 'Teen Adventure', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",4.7,A world in which a compulsory operation wipes out physical differences and makes everyone pretty.
tt21626774,Sector 36,02:03:00,2024-09-13,['India'],['Hindi'],['Thriller'],7.2,"A fictional story Inspired by true events, several children go missing from a basti (slum) in Sector 36. A determined police officer must now face off with a cunning serial killer as a chilling investigation and dark secrets unfold."
tt28494829,Officer Black Belt,01:48:00,2024-09-13,['South Korea'],['Korean'],"['Buddy Comedy', 'Buddy Cop', 'Martial Arts', 'Action', 'Comedy', 'Crime']",6.8,A talented martial artist who can't walk past a person in need unites with a probation officer to fight and prevent crime as a martial arts officer.
tt32880190,Kalinga,01:56:00,2024-09-13,['India'],['Telugu'],['Horror'],8.8,"A protagonist encounters terrifying events, uncovering a sinister mystery lurking beneath the surface."
