ImdbID,Name,Directors,OriginCountries,Languages,Genres,Rating
tt15731122,Kadala Theerada Bhargava, Pannaga Somashekar , India , Kannada , Thriller ,6.9
tt32857110,Bohurupi," Shiboprosad Mukherjee, Nandita Roy ", India , Bengali , Action Drama ,8.5
tt12261776,65," Scott Beck, Bryan Woods "," United States, Ireland, Australia, Canada ", English , Dinosaur Adventure Survival Action Adventure Drama Sci-Fi Thriller ,5.4
tt11005128,Into the Deep, Kate Cox ," United States, United Kingdom ", English , Psychological Thriller Crime Drama Horror Mystery Thriller ,4.6
tt22807194,Pyaari - Tarawali the True Story, Rajneeshh Dubey , India , Hindi , Drama Romance ,5.2
tt6685538,Mavka: The Forest Song," Oleh Malamuzh, Oleksandra Ruban, Yevheniy Yermak ", Ukraine , English , Computer Animation Adventure Animation Comedy Family Fantasy ,6.6
tt29609422,Death Whisperer, Taweewat Wantha , Thailand , Thai , Horror Thriller ,5.8
tt16425284,Mixed by Erry, Sydney Sibilia , Italy , Italian , Comedy ,7.1
tt30630336,Tekka, Srijit Mukherji , India , Bengali , Drama ,6.6
tt33481094,The Menendez Brothers, Alejandro Hartmann , United States , English , Documentary ,7.0
tt27599851,Apocalypse Z: The Beginning of the End, Carles Torrens , Spain ," Spanish, Ukrainian ", Action Horror Sci-Fi Thriller ,6.1
tt14210958,Guglhupfgeschwader, Ed Herzog , Germany , German , Comedy Crime ,6.4
tt22688572,Boudica: Queen of War, Jesse V. Johnson , United Kingdom , English , Sword & Sandal Action Drama History War ,4.2
tt32880932,V/H/S/Beyond,unknown, United States , English , Found Footage Horror Monster Horror Zombie Horror Horror ,5.9
tt16915972,Satan's Slaves 2: Communion, Joko Anwar , Indonesia , Indonesian , Drama Horror Mystery ,6.7
tt11145118,Creed III, Michael B. Jordan , United States ," English, American Sign Language, Spanish, Hawaiian ", Boxing Action Drama Sport ,6.7
tt12736014,CTRL, Vikramaditya Motwane , India ,unknown, Cyber Thriller Drama Thriller ,6.3
tt9557068,Grotesque, Brandon Rhiness , Canada ,unknown, Comedy Horror ,4.1
tt2071590,Spinning Gold, Timothy Scott Bogart , United States , English , Biography Drama Music Musical ,5.9
tt4614584,Purple Hearts, Elizabeth Allen Rosenbaum , United States ," English, Spanish ", Feel-Good Romance Drama Music Romance ,6.7
tt28129054,Take Cover, Nick McKinless , United Kingdom , English , Action Thriller ,5.1
tt28351127,Swag, Hasith Goli , India , Telugu , Comedy ,7.9
tt12262116,Thirteen Lives, Ron Howard ," United Kingdom, Canada, United States "," English, Thai, Mandarin ", Disaster Docudrama Survival Biography Drama Thriller ,7.8
tt28103733,One for the Road, Markus Goller , Germany , German , Comedy Drama ,6.6
